Login to,Iniciar sesión en,
MICR,MICR,
Mar,mar,
Mark Attendance,Marcar Asistencia,
Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,Marque la asistencia basada en &#39;Registro de empleados&#39; para los empleados asignados a este turno.,
Marked Attendance HTML,Asistencia Marcada HTML,
Marked Attendance,Asistencia Marcada,
Married name,Apellido de Casada,
Max Amount Eligible,Monto Máximo Elegible,
Max Benefit Amount (Yearly),Monto de Beneficio Máximo (Anual),
Max Benefit Amount,Monto de Beneficio Máximo,
Max Benefits (Amount),Beneficios Máximos (Cantidad),
Max Benefits (Yearly),Beneficios Máximos (Anuales),
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},El monto máximo de exención no puede ser mayor que el monto máximo de exención {0} de la categoría de exención fiscal {1},
Max Exemption Amount,Cantidad de exención máxima,
Max Taxable Income,Ingreso imponible máximo,
Max benefits should be greater than zero to dispense benefits,Los beneficios máximos deberían ser mayores que cero para dispensar beneficios,
Max working hours against Timesheet,Máximo las horas de trabajo contra la parte de horas,
Maximum Carry Forwarded Leaves,Máximo transporte de permisos enviadas,
Maximum Consecutive Leaves Allowed,Permiso Máximo Consecutivo Permitido,
Maximum Exempted Amount,Monto máximo exento,
Maximum Exemption Amount,Monto Máximo de Exención,
Maximum Leave Allocation Allowed per Leave Period,Asignación Máxima de Permisos Permitida por Período de Permisos,
Maximum amount eligible for the component {0} exceeds {1},La cantidad máxima elegible para el componente {0} excede de {1},
Maximum benefit amount of component {0} exceeds {1},La cantidad máxima de beneficios del componente {0} excede de {1},
Maximum benefit amount of employee {0} exceeds {1},La cantidad máxima de beneficios del empleado {0} excede de {1},
Maximum leave allowed in the leave type {0} is {1},La licencia máxima permitida en el tipo de permiso {0} es {1},
May,Mayo,
Meal Preference,preferencia de comida,
Medical,Médico,
Mileage,Kilometraje,
Min Taxable Income,Renta mínima imponible,
Minimum working days required since Date of Joining to apply for this leave,Días mínimos de trabajo requeridos desde la fecha de ingreso para solicitar este permiso,
Mode of Travel,Modo de Viaje,
Mode of payment is required to make a payment,Forma de pago se requiere para hacer un pago,
Mon,Lun,
Monthly Attendance Sheet,Hoja de Asistencia mensual,
Monthly Eligible Amount,Cantidad elegible mensual,
Monthly HRA Exemption,Exención mensual de HRA,
Monthly House Rent,Alquiler mensual de la casa,
More Details,Más detalles,
More than one selection for {0} not allowed,Más de una selección para {0} no permitida,
My Requests,Mis Solicitudes,
Name of Organizer,Nombre del Organizador,
Net Pay cannot be less than 0,Pago Neto no puede ser menor que 0,
Net Pay,Pago Neto,
Net Salary Amount,Cantidad de salario neto,
Net pay cannot be negative,El salario neto no puede ser negativo,
New Employee ID,Nueva Identificación de Empleado,
New Leaves Allocated (In Days),Nuevos permisos asignadas (en días),
New Leaves Allocated,Nuevas Ausencias Asignadas,
No Employee Found,Ningún empleado encontrado,
No Employee found for the given employee field value. '{}': {},No se encontró ningún empleado para el valor de campo de empleado dado. &#39;{}&#39;: {},
No Leaves Allocated to Employee: {0} for Leave Type: {1},No hay hojas asignadas al empleado: {0} para el tipo de licencia: {1},
No Salary Structure assigned for Employee {0} on given date {1},Sin estructura salarial asignada para el empleado {0} en una fecha dada {1},
No Staffing Plans found for this Designation,No se encontraron planes de personal para esta designación,
No active or default Salary Structure found for employee {0} for the given dates,Sin estructura de salario activa o por defecto encontrada de empleado {0} para las fechas indicadas,
No additional expenses has been added,No se han agregado gastos adicionales,
No employee found,Empleado no encontrado,
No leave record found for employee {0} on {1},No se encontró ningún registro de licencia para el empleado {0} el {1},
No more updates,No hay más actualizaciones,
No replies from,No hay respuestas de,
No salary slip found to submit for the above selected criteria OR salary slip already submitted,No se ha presentado ningún comprobante de sueldo para los criterios seleccionados anteriormente O recibo de sueldo ya enviado,
Non Diary,No diario,
Non-Vegetarian,No Vegetariano,
Nothing to change,Nada para Cambiar,
Notice Period,Período de Notificación,
Notify users by email,Notificar a los usuarios por correo electrónico,
Nov,nov,
Number Of Employees,Número de Empleados,
Number Of Positions,Numero de Posiciones,
OUT,FUERA,
Oct,oct,
Odometer Reading,Lectura del podómetro,
Offer Term,Términos de la oferta,
Oil Change,Cambio de aceite,
On Date,A tiempo,
On Duty,En Servicio,
On Holiday,Feriado,
On Leave,En Permiso,
Only Approvers can Approve this Request.,Solo los aprobadores pueden aprobar esta solicitud.,
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,"Sólo se pueden presentar solicitudes de permiso con el status ""Aprobado"" y ""Rechazado"".",
Only Shift Request with status 'Approved' and 'Rejected' can be submitted,Solo se puede enviar una solicitud de turno con el estado &#39;Aprobado&#39; y &#39;Rechazado&#39;,
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Solo impacto impositivo (no se puede reclamar, pero parte de los ingresos imponibles)",
Only expired allocation can be cancelled,Solo se puede cancelar la asignación vencida,
Only users with the {0} role can create backdated leave applications,Solo los usuarios con el rol {0} pueden crear aplicaciones de licencia retroactivas,
Optional Holiday List not set for leave period {0},Lista de permiso opcional no establecida para el período de licencia {0},
Other Taxes and Charges,Otros impuestos y cargos,
Others,Otros,
Out Time,Fuera de tiempo,
Outgoing Salary,Salario Pagando,
Overwrite Salary Structure Amount,Sobrescribir el monto de la Estructura Salarial,
PAN Number,Número PAN,
PF Account,Cuenta PF,
PF Amount,Monto PF,
PF Loan,Préstamo PF,
Part-time,Tiempo parcial,
Password Policy,Política de contraseñas,
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,La política de contraseña no puede contener espacios o guiones simultáneos. El formato se reestructurará automáticamente.,
Password policy for Salary Slips is not set,La política de contraseñas para recibos salariales no está establecida,
Pay Against Benefit Claim,Reclamo de pago contra el beneficio,
Payment Account is mandatory,La cuenta de pago es obligatoria,
Payment Days,Días de pago,
Payment of {0} from {1} to {2},Pago de {0} desde {1} hasta {2},
Payroll Date,Fecha de Nómina,
Payroll Employee Detail,Detalle de la Nómina del Empleado,
Payroll Frequency,Frecuencia de la Nómina,
Payroll Number,Número de nómina,
Payroll Period Date,Fecha del Período de la Nómina,
Payroll Period,Período de Nómina,
Payroll Periods,Períodos de Nómina,
Payroll Reports,Reportes de Nómina,
Payroll Settings,Configuración de nómina,
Payroll date can not be greater than employee's relieving date.,La fecha de nómina no puede ser mayor que la fecha de relevo del empleado.,
Payroll date can not be less than employee's joining date.,La fecha de la nómina no puede ser menor que la fecha de incorporación del empleado.,
Payroll,Nómina de sueldos,
Percent Deduction,Deducción Porcentual,
Percent,Por ciento,
Piecework,Trabajo por obra,
Planned number of Positions,Número planificado de Posiciones,
Please add the remaining benefits {0} to any of the existing component,Agregue los beneficios restantes {0} a cualquiera de los componentes existentes,
Please confirm once you have completed your training,Por favor confirme una vez que haya completado su formación,
Please enable default incoming account before creating Daily Work Summary Group,Habilite la cuenta entrante predeterminada antes de crear el Grupo de resumen de trabajo diario,
Please enter the designation,"Por favor, introduzca la designación",
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Por favor seleccione 'trasladar' si usted desea incluir los saldos del año fiscal anterior a este año,
Please select Company and Designation,Seleccione Compañía y Designación,
Please select Employee first.,Primero seleccione Empleado.,
Please select Employee,Por favor selecciona Empleado,
Please select a csv file,"Por favor, seleccione un archivo csv",
Please set Payroll based on in Payroll settings,Establezca Nómina en función de la configuración de Nómina,
Please set default template for Leave Approval Notification in HR Settings.,"Por favor, configure la plantilla predeterminada para la Notifiación de Aprobación de Permisos en Configuración de Recursos Humanos.",
Please set default template for Leave Status Notification in HR Settings.,Configure la plantilla predeterminada para la Notifiación de Estado de Permisos en configuración de Recursos Humanos.,
Please set the Company,Por favor establezca la empresa,
Please set the Date Of Joining for employee {0},"Por favor, establezca la Fecha de Ingreso para el empleado {0}",
Please setup Employee Naming System in Human Resource > HR Settings,Configure el Sistema de nombres de empleados en Recursos humanos&gt; Configuración de recursos humanos,
Please setup numbering series for Attendance via Setup > Numbering Series,Configure la serie de numeración para la asistencia a través de Configuración&gt; Serie de numeración,
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Por favor, comparta sus comentarios con la formación haciendo clic en ""Feedback de Entrenamiento"" y luego en ""Nuevo""",
Please update your status for this training event,Actualice su estado para este evento de capacitación.,
Preferred Area for Lodging,Área preferida para alojamiento,
Present,Presente,
Present,Presente,
Present,Presente,
Prevent self approval for leaves even if user has permissions,Evitar la autoaprobación de permisos incluso si el usuario tiene permisos,
Preview Salary Slip,Previsualización de Nómina,
Printed On,Impreso en,
Privilege Leave,Permiso,
Probation,Período de prueba,
Probationary Period,Período de prueba,
Process Attendance After,Asistencia al proceso después,
Professional Tax Deductions,Deducciones fiscales profesionales,
Professional Tax,Impuesto profesional,
Proficiency,Competencia,
Promotion Date,Fecha de Promoción,
Property already added,Propiedad ya agregada,
Property,Propiedad,
Provident Fund Deductions,Deducciones del fondo de previsión,
Provident Fund Loan,Préstamo del fondo de previsión,
Provident Fund,fondo de Previsión,
Publish on website,Publicar en el sitio web,
Purpose & Amount,Propósito y Monto,
Purpose of Travel,Propósito de Viaje,
Quick Filters,Filtros Rápidos,
Quick Links,Enlaces Rapidos,
Re-allocate Leaves,Reasignar Permisos,
Recruitment Analytics,Análisis de contratación,
Refuelling Details,Detalles de repostaje,
Rejected Claims (This Month),Reclamaciones Rechazadas (Este Mes),
Remaining Benefits (Yearly),Beneficios Restantes (Anuales),
Remind Before,Recuerde Antes,
Reminded,Recordado,
Reminder,Recordatorio,
Reminders,Recordatorios,
Remote Assistance,Asistencia Remota,
Remove if Zero Valued,Eliminar si el valor es cero,
Rented Car,Auto Rentado,
Rented From Date,Alquilado desde la fecha,
Rented To Date,Alquilado hasta la fecha,
Rented in Metro City,Alquilado en Metro City,
Repay From Salary can be selected only for term loans,Reembolsar desde el salario se puede seleccionar solo para préstamos a plazo,
Repay Unclaimed Amount from Salary,Reembolsar el Monto No Reclamado del Salario,
Replies,Respuestas,
Request Attendance,Solicitar Asistencia,
Request Leave,Solicitar Permiso,
Request a Shift,Solicitar un Turno,
Request an Advance,Solicitar un Adelanto,
Require Full Funding,Requerir Fondos Completos,
Required for Employee Creation,Requerido para la creación del Empleado,
Responsibilities,Responsabilidades,
Restrict Backdated Leave Application,Restringir Solicitudes de Permiso con Fecha Retroactiva,
Result,Resultado,
Resume Attachment,Adjunto curriculum vitae,
Retention Bonus,Bonificación de Retención,
Retirement Age (In Years),Edad de Jubilación (En Años),
Role Allowed to Create Backdated Leave Application,Rol permitido para crear una solicitud de licencia con fecha anterior,
Role,Rol,
Round to the Nearest Integer,Redondear al entero más cercano,
Rounding,Redondeo,
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,Fila n. ° {0}: no se puede establecer la cantidad o la fórmula para el componente de salario {1} con variable basada en el salario imponible,
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},Fila {0} # Cantidad Asignada {1} no puede ser mayor que la Cantidad no Reclamada {2},
Row {0}# Paid Amount cannot be greater than requested advance amount,Fila {0}# Cantidad pagada no puede ser mayor que la cantidad adelantada solicitada,
Row {0}: {1} is required in the expenses table to book an expense claim.,Fila {0}: {1} es obligatorio en la tabla de gastos para registrar una reclamación de gastos.,
Salary Component Account,Cuenta Nómina Componente,
Salary Component Type,Tipo de Componente Salarial,
Salary Component for timesheet based payroll.,Componente de salario para la nómina basada en hoja de salario.,
Salary Component,Componente Salarial,
Salary Detail,Detalle de Sueldos,
Salary Details,Detalles del Salario,
Salary Payments Based On Payment Mode,Pagos de salario basados en el modo de pago,
Salary Payments via ECS,Pagos de salario a través de ECS,
Salary Payout,Pago de Salario,
Salary Register,Registro de Salario,
Salary Slip Based on Timesheet,Nomina basada horas,
Salary Slip ID,ID de Nómina,
Salary Slip Loan,Préstamo de Nómina,
Salary Slip Timesheet,Registro de Horas de Nómina,
Salary Slip of employee {0} already created for this period,Nómina del empleado {0} ya creado para este periodo,
Salary Slip of employee {0} already created for time sheet {1},Nómina de sueldo del empleado {0} ya creado para la hoja de tiempo {1},
Salary Slips Created,Salario Slips creado,
Salary Slips Submitted,Nómina Salarial Validada,
Salary Structure Assignment for Employee already exists,La asignación de estructura salarial para el empleado ya existe,
Salary Structure Assignment,Asignación de Estructura Salarial,
Salary Structure Missing,Falta estructura salarial,
Salary Structure not found for employee {0} and date {1},Estructura salarial no encontrada para el empleado {0} y fecha {1},
Salary Structure should have flexible benefit component(s) to dispense benefit amount,La Estructura Salarial debe tener un componente (s) de beneficio flexible para dispensar el monto del beneficio,
Salary Structure,Estructura salarial,
Salary Withholding,Retención de Salario,
Salary breakup based on Earning and Deduction.,Calculo de salario basado en los ingresos y deducciones,
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Importe sancionado no puede ser mayor que el importe del reclamo en la línea {0}.,
Sat,Sáb,
Score (0-5),Puntuación (0-5),
Score Earned,Puntuación Obtenida.,
Score must be less than or equal to 5,La puntuación debe ser menor o igual a 5,
Select Payment Account to make Bank Entry,Seleccionar la cuenta de pago para hacer la entrada del Banco,
Select Property,Seleccionar Propiedad,
Select Terms and Conditions,Seleccione términos y condiciones,
Select Users,Seleccionar Usuarios,
Select an employee to get the employee advance.,Seleccione un empleado para obtener el adelanto del empleado.,
Self-Study,Autoestudio,
Seminar,Seminario,
Send Emails At,Enviar Correos Electrónicos a,
Send Interview Feedback Reminder,Enviar Recordatorio de Retroalimentación de Entrevista,
Send Interview Reminder,Enviar Recordatorio de Entrevista,
Send Leave Notification,Enviar Notificación de Permiso,
Sep,sep,
Service Details,Detalles del servicio,
Service Expense,Gasto de Servicio,
Service Item,Artículo de servicio,
Set the default account for the {0} {1},Configure la cuenta predeterminada para {0} {1},
Set the frequency for holiday reminders,Establecer la frecuencia de los recordatorios de días festivos,
Shift & Attendance,Turno y Asistencia,
Shift Actual End,Fin del turno actual,
Shift Actual Start,Inicio del turno actual,
Shift Assignment Tool,Herramienta de Asignación de Turno,
Shift Assignment,Asignación de Turno,
Shift Assignment: {0} created for Employee: {1},Asignación de turno: {0} creado para Empleado: {1},
Shift Attendance,Asistencia en Turno,
Shift End,Fin de turno,
Shift Location,Ubicación del Turno,
Shift Request,Solicitud de Turno,
Shift Schedule Assignment,Asignación de Horario de Turno,
Shift Schedule,Horario de Turno,
Shift Settings,Configuración de Turnos,
Shift Start,Inicio de turno,
Shift Tools,Herramientas de Turno,
Shift Type,Tipo de Turno,
Shift,Turno,
Shifts,Turnos,
Show Employee,Mostrar empleado,
Show Leaves Of All Department Members In Calendar,Mostrar hojas de todos los miembros del departamento en el calendario,
Show Salary Slip,Mostrar Nomina Salarial,
Sick Leave,Permiso por enfermedad,
Skill Name,nombre de la habilidad,
Skill,Habilidad,
Skip Auto Attendance,Omitir asistencia automática,
Sponsored Amount,Monto Patrocinado,
Staffing Plan Detail,Detalle del plan de personal,
Staffing Plan {0} already exist for designation {1},El plan de dotación de personal {0} ya existe para la designación {1},
Staffing Plan,Plan de Personal,
Standard Tax Exemption Amount,Monto de exención de impuestos estándar,
Standard Working Hours,Horas Laborales Estánda,
Statistical Component,Componente estadístico,
Stock Options,Opciones de stock,
Stop users from making Leave Applications on following days.,No permitir a los usuarios crear solicitudes de permisos en los siguientes días.,
Strictly based on Log Type in Employee Checkin,Estrictamente basado en el tipo de registro en el registro de empleados,
Structures have been assigned successfully,Las Esturcturas fueron asignadas exitósamente,
Submission Date,Día de Entrega,
Submit Proof,Enviar prueba,
Submit Salary Slip,Validar nómina salarial,
Submit this to create the Employee record,Envíe esto para crear el registro del empleado,
Submitting Salary Slips and creating Journal Entry...,Envío de nóminas y creación de asientos de diario ...,
Submitting Salary Slips...,Validar Nóminas Salariales ...,
Summarized View,Vista resumida,
Sun,Dom,
Tax & Benefits,Impuestos y Beneficios,
Tax Exemption Category,Categoría de Exención Fiscal,
Tax Exemption Proofs,Pruebas de Exención de Impuestos,
Tax Identification Number,Número de Identificación Tributaria (NIT),
Tax on additional salary,Impuesto sobre el Salario Adicional,
Tax on flexible benefit,Impuesto sobre el Beneficio Flexible,
Taxable Salary Slab,Tabla Salarial Imponible,
Taxable Salary Slabs,Salarios Gravables,
Taxes and Charges on Income Tax,Impuestos y cargas sobre el impuesto sobre la renta,
Taxi,Taxi,
Team Requests,Solicitudes del Equipo,
Team Updates,Actualizaciones equipo,
Thank you,Gracias.,
The amount of entitled leaves in a Company for an Employee in a Leave Period is known as Leave Policy.,La cantidad de permisos a los que tiene derecho en una empresa para un empleado en un período de licencia se conoce como política de permiso.,
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,El día (s) en el que está solicitando la licencia son los días festivos. Usted no necesita solicitar la excedencia.,
The fraction of daily wages to be paid for half-day attendance,La fracción del salario diario a pagar por asistencia de medio día.,
The time after the shift start time when check-in is considered as late (in minutes).,El tiempo después del horario de inicio del turno cuando el check-in se considera tarde (en minutos).,
The time before the shift end time when check-out is considered as early (in minutes).,El tiempo antes de la hora de finalización del turno cuando el check-out se considera temprano (en minutos).,
The time before the shift start time during which Employee Check-in is considered for attendance.,El tiempo antes de la hora de inicio del turno durante el cual se considera la asistencia del Empleado Check-in.,
Theory,Teoría,
There are more holidays than working days this month.,Existen más permisos que días de trabajo en este mes.,
There are no vacancies under staffing plan {0},No hay vacantes en el plan de personal {0},
There is no leave period in between {0} and {1},No hay período de licencia entre {0} y {1},
This employee already has a log with the same timestamp.{0},Este empleado ya tiene un registro con la misma marca de tiempo. {0},
This is based on the attendance of this Employee,Esto se basa en la presencia de este empleado,
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Esto enviará hojas de salario y creará asientos acumulados. ¿Quieres proceder?,
Thu,Jue,
Time after the end of shift during which check-out is considered for attendance.,Tiempo después del final del turno durante el cual se considera la salida para la asistencia.,
Timing,Sincronización,
To Amount,Al Monto,
To Date should be greater than From Date,Hasta la fecha debe ser mayor que desde la fecha,
To date can not be equal or less than from date,Fecha Hasta no puede ser igual o menor que la fecha,
To date can not be greater than employee's relieving date.,Hasta la fecha no puede ser mayor que la fecha de relevo del empleado.,
To date can not be less than from date,Fecha Hasta no puede ser menor que la Fecha Desde,
To date can not greater than employee's relieving date,Fecha Hasta no puede ser mayor que la fecha de alivio del empleado,
To date needs to be before from date,Hasta la fecha debe ser anterior a la fecha,
Total Absent,Total ausente,
Total Actual Amount,Monto real total,
Total Advance Amount,Monto Total Anticipado,
Total Allocated Leaves,Total de Permisos Asignadas,
Total Amount Reimbursed,Monto total reembolsado,
Total Claimed Amount,Total reembolso,
Total Declared Amount,Monto total declarado,
Total Deduction,Deducción total,
Total Early Exits,Total de salidas tempranas,
Total Earning,Ganancia Total,
Total Eligible HRA Exemption,Exención total elegible de HRA,
Total Estimated Budget,Presupuesto Total Estimado,
Total Estimated Cost,Costo Total Estimado,
Total Exemption Amount,Importe Total de Exención,
Total Incentive Given(Last month),Total de Incentivos Otorgados(Ultimo Mes),
Total Late Entries,Total de entradas tardías,
Total Leave Days,Días totales de permisos,
Total Leaves Allocated,Total de permisos asigandas,
Total Leaves Encashed,Total de Licencias Cobradas,
Total Leaves,Permisos Totales,
Total Outgoing Salary(Last month),Total Salarios Pagados(Ultimo Mes),
Total Present,Total Presente,
Total Salary Structure,Total Estructura Salarial,
Total Sanctioned Amount,Total Sancionada,
Total Score (Out of 5),Puntaje Total (de 5),
Total Score,Puntaje Total,
Total advance amount cannot be greater than total sanctioned amount,El monto total anticipado no puede ser mayor que la cantidad total autorizada,
Total flexible benefit component amount {0} should not be less than max benefits {1},El monto total del componente de beneficio flexible {0} no debe ser inferior al beneficio máximo {1},
Total in words,Total en palabras,
Total leaves allocated is mandatory for Leave Type {0},Las Licencias totales asignadas son obligatorias para el Tipo de Licencia {0},
Total working hours should not be greater than max working hours {0},Total de horas de trabajo no deben ser mayores que las horas de trabajo max {0},
Train,Entrenamiento,
Trainer Email,Correo electrónico del entrenador,
Trainer Name,Nombre del entrenador,
Training Date,Fecha de entrenamiento,
Training Event Employee,Evento de Formación de los trabajadores,
Training Event,Evento de Capacitación,
Training Event:,Evento de entrenamiento:,
Training Events,Eventos de entrenamiento,
Training Feedback,Comentarios del entrenamiento,
Training Program,Programa de Entrenamiento,
Training Result Employee,Resultado del Entrenamiento del Empleado,
Training Result,Resultado del entrenamiento,
Training,Formación,
Trainings,Entrenamientos,
Transaction Name,Nombre de transacción,
Transfer Date,Fecha de Transferencia,
Travel Advance Required,Se Requiere Avance de Viaje,
Travel From,Viajar Desde,
Travel Funding,Financiación de Viajes,
Travel Itinerary,Itinerario de Viaje,
Travel Request Costing,Costo de Solicitud de Viaje,
Travel Request,Solicitud de Viaje,
Travel To,Viajar a,
Travel Type,Tipo de Viaje,
Travel,Viajes,
Tue,Mar,
Type of Proof,Tipo de Prueba,
Unable to find Salary Component {0},No se puede encontrar el componente de salario {0},
Unlink Payment,Desvincular Pago,
Unmarked Attendance for days,Asistencia sin marcar por días,
Unmarked Attendance,La asistencia sin marcar,
Unmarked Days,Días sin marcar,
Unmarked days,Días sin marcar,
Unpaid Expense Claim,Reclamación de gastos no pagados,
Unused leaves,Ausencias no utilizadas,
Update Response,Actualizar Respuesta,
Upload Attendance,Subir Asistencia,
Upload HTML,Subir HTML,
Used Leaves,Permisos Usadas,
Vacancies cannot be lower than the current openings,Las vacantes no pueden ser inferiores a las vacantes actuales,
Vacancies,Vacantes,
Validate Attendance,Validar la Asistencia,
Validating Employee Attendance...,Validación de la asistencia de los empleados ...,
Value / Description,Valor / Descripción,
Value missing,Valor que Falta,
Variable Based On Taxable Salary,Variable basada en el Salario Imponible,
Variable,Variable,
Vegetarian,Vegetariano,
Vehicle Log,Bitácora del Vehiculo,
Vehicle Service,Servicio del Vehículo,
View Salary Slips,Ver Recibos de Sueldo,
Walk In,Entrar,
Warning: Leave application contains following block dates,Advertencia: La solicitud de permiso contiene las siguientes fechas bloqueadas,
Website Listing,Listado de sitios web,
Wed,Mié,
Weekly Off,Descanso Semanal,
Weightage (%),Porcentaje (%),
Work Anniversaries,Aniversarios Laborales,
Work End Date,Fecha de Finalización del Trabajo,
Work From Date,Trabajar Desde la Fecha,
Work From Home,Trabajar Desde Casa,
Work From Home,Trabajo Desde Casa,
Work Summary for {0},Resumen de trabajo para {0},
Worked On Holiday,Trabajó en Dia Festivo,
Working Days,Días de Trabajo,
Working Hours Calculation Based On,Cálculo de horas de trabajo basado en,
Working Hours Threshold for Absent,Umbral de horas de trabajo para ausentes,
Working Hours Threshold for Half Day,Umbral de horas de trabajo para medio día,
Working hours below which Absent is marked. (Zero to disable),Horas de trabajo por debajo de las cuales se marca Ausente. (Cero para deshabilitar),
Working hours below which Half Day is marked. (Zero to disable),Horas de trabajo por debajo de las cuales se marca Medio día. (Cero para deshabilitar),
Workshop,Taller,
You are not authorized to approve leaves on Block Dates,Usted no está autorizado para aprobar permisos en fechas bloqueadas,
You are not present all day(s) between compensatory leave request days,Usted no está presente todos los días entre los días de solicitud de licencia compensatoria,
You can not request for your Default Shift: {0},No puede solicitar su turno predeterminado: {0},
You can only submit Leave Encashment for a valid encashment amount,Solo puede enviar la Deuda por un monto de cobro válido,
email,correo electrónico,
{0} already allocated for Employee {1} for period {2} to {3},{0} ya ha sido asignado para el empleado {1} para el periodo {2} hasta {3},
{0} already exists for employee {1} and period {2},{0} ya existe para el empleado {1} y el período {2},
{0} applicable after {1} working days,{0} aplicable después de {1} días hábiles,
{0} is not in Optional Holiday List,{0} no está en la Lista de Dia Festivo opcional,
{0} is not in a valid Payroll Period,{0} no está en un Período de cálculo de Nómina válido,
{0} must be submitted,{0} debe enviarse,
{0}: From {0} of type {1},{0}: Desde {0} del tipo {1},
{} is an invalid Attendance Status.,{} es un estado de asistencia no válido.,
Assign Structure,Asignar Estructura,
Please select From Date.,Por favor seleccione la fecha de inicio.,
There are no employees without a Salary Structure Assignment on this date based on the given filters.,No hay empleados sin una asignación de estructura salarial en esta fecha según los filtros dados.,
Set {0} for selected employees,Establecer {0} para los empleados seleccionados,
Are you sure you want to proceed?,¿Está seguro de que desea continuar?,
<b>Base</b> amount has not been set for the following employee(s): {0},<b>Base</b> el monto no se ha establecido para los siguientes empleados: {0},
Assign Salary Structure to {0} employee(s)?,¿Asignar estructura salarial a {0} empleado (s)?,
Assigning Salary Structure,Asignando Estructura Salarial,
Please select at least one row to perform this action.,Por favor seleccione al menos una fila para realizar esta acción.,
Validation Error,Error de validación,
Payroll Payable Account,Cuenta de nómina a pagar,
Set Assignment Details,Establecer detalles de la asignación,
Every Week,Cada semana,
Every 2 Weeks,Cada 2 semanas,
Every 3 Weeks,Cada 3 semanas,
Every 4 Weeks,Cada 4 semanas,
Repeat On Days,Repetir en días,
Recent Leaves,Permisos Recientes,
Request a Leave,Solicitar un Permiso,
View Leave History, Ver Historial de Permiso,
Upcoming Holidays,Próximos días festivos,
You have no requests,No tienes solicitudes,
Leaves & Holidays,Permisos & Dias Festivos,
Recent Attendance Requests,Solicitudes de Asistencia Recientes,
Attendance Calendar,Calendario de Asistencia,
Notes:,Notas:,
Please do not change the template headings,No cambie los encabezados de la plantilla,
Status should be one of these values: {0},El estado debe ser uno de estos valores: {0},
"If you are overwriting existing attendance records, 'ID' column mandatory","Si está sobrescribiendo registros de asistencia existentes, La columna ID es obligatoria",
ID,ID,
Employee,Empleado,
Employee Name,Nombre del empleado,
Date,Fecha,
Status,Estado,
Leave Type,Tipo de licencia,
Company,Compañía,
Naming Series,Serie de numeración,
Inserted row ({0}) {1},Fila insertada ({0}) {1},
Organizational Chart,Organigrama,
Opening Balances,Balances de Apertura,
Set opening balances for earnings and taxes from the previous employer,Establecer saldos de apertura para ganancias e impuestos del empleador anterior,
Taxable Earnings Till Date,Ingresos Imponibles Hasta la Fecha,
Tax Deducted Till Date,Impuesto Deducido Hasta la Fecha,
Payroll Cost Centers,Centros de Costo de Nómina,
Income from Other Sources,Ingresos de otras fuentes,
Non Taxable Earnings,Ingresos no imponibles,
Income Tax Deducted Till Date,Impuesto sobre la renta deducido hasta la fecha,
Tax Exemption Declaration,Declaración de Exención Fiscal,
Deductions before tax calculation,Deducciones antes del cálculo de impuestos,
Future Income Tax,Impuesto sobre la renta futuro,
Total Income Tax,Impuesto sobre la renta total,
Annual Taxable Amount,Importe imponible anual,
Income Tax Breakup,Desglose del impuesto sobre la renta,
Total Earnings,Total de ingresos,
Net Pay Info,Información de pago neto,
Year To Date,Año hasta la fecha,
Month To Date,Mes hasta la fecha,
Gross Year To Date,Monto Bruto Anual hasta la fecha,
Total salary booked for this employee from the beginning of the year (payroll period or fiscal year) up to the current salary slip's end date.,Salario total reservado para este empleado desde el comienzo del año (período de nómina o año fiscal) hasta la fecha de finalización del recibo de sueldo actual.,
Total salary booked for this employee from the beginning of the month up to the current salary slip's end date.,Salario total reservado para este empleado desde el comienzo del mes hasta la fecha de finalización del recibo de sueldo actual.,
Missing Tax Slabs,Tablas de impuestos faltantes,
Taxable Deductions Till Date,Deducciones imponibles hasta la fecha,
Could not find any salary slip(s) for the employee {0},No se pudo encontrar ningúna nomina salarial para el empleado {0},
"Please specify {0} and {1} (if any), for the correct tax calculation in future salary slips","Por favor especifique {0} y {1} (si corresponde), para el cálculo correcto de impuestos en futuras nóminas",
Missing Opening Entries,Entradas de apertura faltantes,
Current Month Income Tax,Impuesto sobre la renta del mes actual,
Accounting & Payment,Contabilidad y Pago,
Statistical Earnings,Ingresos Estadísticos,
Statistical Deductions,Deducciones Estadísticas,
Update Salary Structures,Actualizar Estructuras Salariales,
Sync {0},Sincronizar {0},
Condition & Formula,Condición & Fórmula,
There is no Salary Structure assigned to {0}. First assign a Salary Stucture.,No hay Estructura Salarial asignada a {0}. Primero asigne una Estructura Salarial.,
